column,reviewed_classification,reason
idx,not_used_as_db_column,"DB 컬럼으로 직접 활용되지 않음. 검색에 잡힌 idx는 대부분 루프/배열 인덱스 변수."
iot_data_idx,identifier_filter_only,"데이터 값으로 계산하지 않고 farm/온실 식별 및 WHERE 필터에 사용."
reg_date,used_primary_runtime,"시계열 정렬, today slice, 적산, feature 계산, 모델링의 시간축으로 사용."
in_medium_temp1,not_referenced,"updated Python 코드에서 참조 없음."
in_medium_temp2,not_referenced,"updated Python 코드에서 참조 없음."
in_temp,used_primary_runtime,"실내온도 입력. controller, features, sensor_QC, theta 모델링, policy update에서 사용."
in_temp2,evaluation_only,"운영 GEAS3.0 코드에서는 사용하지 않고 sufficient_data_eval.py 평가 보조 입력으로만 사용."
in_water_hot,not_referenced,"updated Python 코드에서 참조 없음."
in_water_cold,not_referenced,"updated Python 코드에서 참조 없음."
in_hum,used_primary_runtime,"실내습도 입력. in_rh로 rename되어 feature/safety/QC에 사용."
in_hum2,evaluation_only,"운영 GEAS3.0 코드에서는 사용하지 않고 sufficient_data_eval.py 평가 보조 입력으로만 사용."
in_medium_hum1,not_referenced,"updated Python 코드에서 참조 없음."
in_medium_hum2,not_referenced,"updated Python 코드에서 참조 없음."
in_co2,used_primary_runtime,"실내 CO2 입력. sensor_QC 보정 및 controller 입력 변환에서 사용."
in_co2_2,evaluation_only,"운영 GEAS3.0 코드에서는 사용하지 않고 sufficient_data_eval.py 평가 보조 입력으로만 사용."
in_medium_ec1,not_referenced,"updated Python 코드에서 참조 없음."
in_medium_ec2,not_referenced,"updated Python 코드에서 참조 없음."
out_temp,used_primary_runtime,"외기온 입력. sensor_QC, features, controller, theta 모델링에서 사용."
out_hum,used_primary_runtime,"외기습도 입력. sensor_QC 및 data availability/physics 관련 처리에서 사용."
out_winddirec,referenced_but_not_downstream_feature,"sensor_QC.make_state_df에서 wDir로 만들지만 이후 QC/제어 계산에는 사용되지 않음."
out_windsp,used_primary_runtime,"풍속 입력. wind_speed로 rename되어 전처리, sensor_QC, data availability에 사용."
out_light,used_primary_runtime,"일사 입력. out_light_sum 적산, feature, controller, theta 모델링, sensor_QC에 사용."
out_light_sum,derived_runtime_column_not_raw_db,"DB 원본 컬럼도 있으나 updated 런타임에서는 out_light에서 새로 계산해 사용하는 파생 컬럼."
out_rainfall,not_referenced,"updated Python 코드에서 참조 없음."
out_rain,used_primary_runtime,"강우 입력. controller에서 비가 오면 창 개방 제한/safety 조건에 사용."
out_airpress,not_referenced,"updated Python 코드에서 참조 없음."
etc_blackout,aux_or_evaluation_only,"운영 primary runtime에는 없음. _tmp_miswired 및 evaluation/period selection에서 사용."
etc_plc_abnorm,aux_or_evaluation_only,"운영 primary runtime에는 없음. _tmp_miswired 및 evaluation/period selection에서 사용."
etc_plc_norm,not_referenced,"updated Python 코드에서 참조 없음."
cont_skyl_vol,used_primary_runtime,"천창/환기 개도 입력. window_pct로 rename, sensor_QC, theta 모델링, data availability에 사용."
cont_skyr_vol,evaluation_only,"운영 GEAS3.0 코드에서는 사용하지 않고 sufficient_data_eval.py 평가 보조 입력으로만 사용."
cont_cur_vol,fetched_for_control_availability_only,"main_cols로 조회되고 data_case_classifier에서 제어 로그 존재 여부 판단에 사용. 현재 primary controller 계산에는 직접 사용되지 않음."
cont_kwcur_vol,not_referenced,"updated Python 코드에서 참조 없음."
cont_heater_run,used_primary_runtime,"난방 동작 입력. heater_duty로 rename, sensor_QC, theta 모델링, data availability에 사용."
cont_cooler_run,not_referenced,"updated Python 코드에서 참조 없음."
cont_co2_run,fetched_for_control_availability_only,"main_cols로 조회되고 data_case_classifier에서 제어 로그 존재 여부 판단에 사용. 현재 primary controller/QC 계산에는 직접 사용되지 않음."
cont_3way1_vol,not_referenced,"updated Python 코드에서 참조 없음."
cont_3way2_vol,not_referenced,"updated Python 코드에서 참조 없음."
cont_pump1_run,not_referenced,"updated Python 코드에서 참조 없음."
cont_pump2_run,not_referenced,"updated Python 코드에서 참조 없음."
cont_fan_run,used_primary_runtime,"팬 동작 입력. sensor_QC의 CO2 모델 외생변수 및 data availability에 사용."
